12:32:18.964 [Projet 7] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [fr.oc.projet.eureka.EurekaApplicationTests], using SpringBootContextLoader
12:32:18.985 [Projet 7] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [fr.oc.projet.eureka.EurekaApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
12:32:18.988 [Projet 7] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [fr.oc.projet.eureka.EurekaApplicationTests]: EurekaApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
12:32:19.322 [Projet 7] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration fr.oc.projet.eureka.EurekaApplication for test class fr.oc.projet.eureka.EurekaApplicationTests
12:32:19.600 [Projet 7] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
12:32:19.623 [Projet 7] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@13bc8645, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@24c22fe, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@93081b6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@cd1e646, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7ba8c737, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1890516e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@15a04efb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@16c069df, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2bec854f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@31edaa7d]
12:32:21.695 [Projet 7] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$f8ca2004] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12:32:22.797 [Projet 7] INFO  org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
12:32:24.273 [Projet 7] INFO  org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
12:32:24.273 [Projet 7] WARN  org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/eureka-server/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
12:32:24.283 [Projet 7] INFO  fr.oc.projet.eureka.EurekaApplicationTests - No active profile set, falling back to default profiles: default
12:32:25.716 [Projet 7] WARN  org.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
12:32:26.363 [Projet 7] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=91e92fb8-a02a-35e9-98bd-36ef5a7350ab
12:32:26.633 [Projet 7] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$f8ca2004] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12:32:27.122 [Projet 7] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
12:32:27.122 [Projet 7] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
12:32:27.140 [Projet 7] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
12:32:27.140 [Projet 7] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
12:32:28.330 [Projet 7] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
12:32:31.801 [Projet 7] INFO  org.springframework.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
12:32:31.936 [Projet 7] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
12:32:31.936 [Projet 7] INFO  com.netflix.discovery.DiscoveryClient - Client configured to neither register nor query for data.
12:32:31.970 [Projet 7] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1564655551967 with initial instances count: 0
12:32:32.148 [Projet 7] INFO  com.netflix.eureka.DefaultEurekaServerContext - Initializing ...
12:32:32.153 [Projet 7] INFO  com.netflix.eureka.cluster.PeerEurekaNodes - Adding new peer nodes [http://localhost:9102/eureka/]
12:32:33.108 [Projet 7] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
12:32:33.108 [Projet 7] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
12:32:33.109 [Projet 7] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
12:32:33.109 [Projet 7] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
12:32:33.481 [Projet 7] INFO  com.netflix.eureka.cluster.PeerEurekaNodes - Replica node URL:  http://localhost:9102/eureka/
12:32:33.498 [Projet 7] INFO  com.netflix.eureka.registry.AbstractInstanceRegistry - Finished initializing remote region registries. All known remote regions: []
12:32:33.499 [Projet 7] INFO  com.netflix.eureka.DefaultEurekaServerContext - Initialized
12:32:33.881 [Projet 7] INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
12:32:34.119 [Projet 7] INFO  fr.oc.projet.eureka.EurekaApplicationTests - Started EurekaApplicationTests in 14.417 seconds (JVM running for 16.756)
12:32:34.129 [Projet 7] INFO  fr.oc.projet.eureka.EurekaApplication - Eureka lancé
12:32:34.160 [Projet 7] INFO  org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap - Setting the eureka configuration..
12:32:34.162 [Projet 7] INFO  org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap - Eureka data center value eureka.datacenter is not set, defaulting to default
12:32:34.164 [Projet 7] INFO  org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap - Eureka environment value eureka.environment is not set, defaulting to test
12:32:34.192 [Projet 7] INFO  org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap - isAws returned false
12:32:34.193 [Projet 7] INFO  org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap - Initialized server context
12:32:34.196 [Projet 7] INFO  com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl - Got 1 instances from neighboring DS node
12:32:34.196 [Projet 7] INFO  com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl - Renew threshold is: 1
12:32:34.197 [Projet 7] INFO  com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl - Changing status to UP
12:32:34.228 [Projet 7] INFO  org.springframework.cloud.netflix.eureka.server.EurekaServerInitializerConfiguration - Started Eureka Server
12:32:34.840 [Projet 7] INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry - Unregistering application EUREKA-SERVER with eureka with status DOWN
12:32:34.845 [Projet 7] INFO  com.netflix.eureka.DefaultEurekaServerContext - Shutting down ...
12:32:34.848 [Projet 7] INFO  com.netflix.eureka.DefaultEurekaServerContext - Shut down
12:32:34.852 [Projet 7] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
12:32:34.861 [Projet 7] INFO  com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
12:32:34.862 [Projet 7] INFO  com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
